Date,OIL_RATE
7/1/1976,10.32894737
8/1/1976,7.171052632
8/1/1977,15.55921053
9/1/1977,15.59210526
10/1/1977,16.11842105
11/1/1977,18.58552632
12/1/1977,10.85526316
1/1/1978,12.73026316
2/1/1978,13.84868421
3/1/1978,7.730263158
4/1/1978,7.467105263
5/1/1978,7.401315789
6/1/1978,7.763157895
7/1/1978,10.32894737
8/1/1978,11.48026316
9/1/1978,11.31578947
10/1/1978,4.078947368
11/1/1978,2.138157895
12/1/1978,2.039473684
1/1/1979,18.02631579
2/1/1979,14.21052632
3/1/1979,16.74342105
4/1/1979,16.05263158
5/1/1979,18.94736842
6/1/1979,14.86842105
7/1/1979,14.375
8/1/1979,14.47368421
9/1/1979,17.99342105
10/1/1979,15.16447368
1/1/1980,4.769736842
2/1/1980,13.02631579
3/1/1980,14.07894737
8/1/1980,1.809210526
9/1/1980,1.644736842
10/1/1980,5.098684211
11/1/1980,4.177631579
12/1/1980,4.375
3/1/1983,1.184210526
4/1/1983,1.480263158
5/1/1983,6.348684211
6/1/1983,11.41447368
7/1/1983,16.61184211
8/1/1983,11.05263158
9/1/1983,10.92105263
10/1/1983,10.26315789
11/1/1983,17.56578947
12/1/1983,12.33552632
7/1/1984,82.86184211
8/1/1984,172.3026316
9/1/1984,186.4144737
10/1/1984,174.9342105
11/1/1984,84.27631579
12/1/1984,89.11184211
1/1/1985,91.57894737
2/1/1985,80.46052632
3/1/1985,70.88815789
4/1/1985,60.42763158
5/1/1985,61.71052632
6/1/1985,57.26973684
7/1/1985,54.80263158
8/1/1985,62.82894737
9/1/1985,51.77631579
10/1/1985,48.22368421
11/1/1985,41.41447368
12/1/1985,48.09210526
1/1/1986,49.11184211
2/1/1986,43.81578947
3/1/1986,53.25657895
4/1/1986,47.07236842
5/1/1986,50.49342105
6/1/1986,48.15789474
7/1/1986,43.91447368
8/1/1986,50.26315789
9/1/1986,45.49342105
10/1/1986,44.01315789
11/1/1986,38.125
12/1/1986,36.01973684
1/1/1987,35.98684211
2/1/1987,32.30263158
3/1/1987,29.93421053
4/1/1987,30.42763158
5/1/1987,30.19736842
6/1/1987,33.15789474
7/1/1987,35.52631579
8/1/1987,31.57894737
9/1/1987,32.66447368
10/1/1987,30.72368421
11/1/1987,31.61184211
12/1/1987,33.98026316
1/1/1988,25.32894737
2/1/1988,23.125
3/1/1988,22.79605263
4/1/1988,20.65789474
5/1/1988,24.70394737
6/1/1988,23.32236842
7/1/1988,21.41447368
8/1/1988,23.32236842
9/1/1988,27.23684211
10/1/1988,25.23026316
11/1/1988,24.60526316
12/1/1988,32.53289474
1/1/1989,24.44078947
2/1/1989,27.86184211
3/1/1989,29.17763158
4/1/1989,20.36184211
5/1/1989,19.80263158
6/1/1989,19.34210526
7/1/1989,19.57236842
8/1/1989,19.93421053
9/1/1989,18.09210526
10/1/1989,20.75657895
11/1/1989,13.65131579
12/1/1989,13.98026316
1/1/1990,7.269736842
2/1/1990,14.40789474
3/1/1990,12.43421053
4/1/1990,12.59868421
5/1/1990,15.39473684
6/1/1990,15.26315789
7/1/1990,14.40789474
8/1/1990,12.17105263
9/1/1990,14.86842105
10/1/1990,13.88157895
11/1/1990,13.78289474
12/1/1990,14.01315789
1/1/1991,12.63157895
2/1/1991,6.677631579
3/1/1991,9.835526316
4/1/1991,18.02631579
5/1/1991,11.94078947
6/1/1991,10.29605263
7/1/1991,9.276315789
8/1/1991,8.486842105
9/1/1991,9.243421053
10/1/1991,8.355263158
11/1/1991,8.125
12/1/1991,9.671052632
1/1/1992,9.013157895
2/1/1992,8.125
3/1/1992,8.388157895
4/1/1992,0.263157895
7/1/1992,5.197368421
8/1/1992,9.473684211
9/1/1992,10.23026316
10/1/1992,7.5
11/1/1992,3.815789474
12/1/1992,8.190789474
1/1/1993,8.223684211
2/1/1993,2.006578947
12/1/1993,2.006578947
1/1/1994,1.315789474
6/1/1994,18.04
7/1/1994,11.93548387
8/1/1994,8.838709677
9/1/1994,6.666666667
10/1/1994,7.096774194
11/1/1994,5.766666667
12/1/1994,5.838709677
1/1/1995,11.87096774
2/1/1995,12.28571429
3/1/1995,10.90322581
4/1/1995,5.047619048
